id,patch_path,label,label_confidence,scene_id,acquired_at,cloud_cover,source_asset,review_required
sma-uf-16487,data\imagery\sma_river_aggregate_patches\sma-uf-16487.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-17274,data\imagery\sma_river_aggregate_patches\sma-uf-17274.png,known_aggregate_site,0.8,S2B_18GXA_20260107_0_L2A,2026-01-07T14:54:06.555000Z,0.002535,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XA/2026/1/S2B_18GXA_20260107_0_L2A/TCI.tif,yes
sma-uf-175,data\imagery\sma_river_aggregate_patches\sma-uf-175.png,known_aggregate_site,0.8,S2B_19HCB_20250303_0_L2A,2025-03-03T14:52:36.681000Z,0.000158,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CB/2025/3/S2B_19HCB_20250303_0_L2A/TCI.tif,yes
sma-uf-176,data\imagery\sma_river_aggregate_patches\sma-uf-176.png,known_aggregate_site,0.8,S2A_19HCB_20260312_0_L2A,2026-03-12T14:42:58.126000Z,0.00047,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CB/2026/3/S2A_19HCB_20260312_0_L2A/TCI.tif,yes
sma-uf-177,data\imagery\sma_river_aggregate_patches\sma-uf-177.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-17705,data\imagery\sma_river_aggregate_patches\sma-uf-17705.png,known_aggregate_site,0.8,S2B_19HCC_20260407_0_L2A,2026-04-07T14:52:17.785000Z,0.000378,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CC/2026/4/S2B_19HCC_20260407_0_L2A/TCI.tif,yes
sma-uf-18137,data\imagery\sma_river_aggregate_patches\sma-uf-18137.png,known_aggregate_site,0.8,S2C_19HBV_20251203_0_L2A,2025-12-03T14:53:13.503000Z,4.3e-05,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BV/2025/12/S2C_19HBV_20251203_0_L2A/TCI.tif,yes
sma-uf-18490,data\imagery\sma_river_aggregate_patches\sma-uf-18490.png,known_aggregate_site,0.8,S2C_18HXD_20250619_0_L2A,2025-06-19T15:03:40.083000Z,0.00401,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/H/XD/2025/6/S2C_18HXD_20250619_0_L2A/TCI.tif,yes
sma-uf-18530,data\imagery\sma_river_aggregate_patches\sma-uf-18530.png,known_aggregate_site,0.8,S2B_18HYH_20250909_0_L2A,2025-09-09T14:52:23.149000Z,0.003813,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/H/YH/2025/9/S2B_18HYH_20250909_0_L2A/TCI.tif,yes
sma-uf-18539,data\imagery\sma_river_aggregate_patches\sma-uf-18539.png,known_aggregate_site,0.8,S2B_18GXV_20250323_1_L2A,2025-03-23T14:54:26.838000Z,0.000541,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/XV/2025/3/S2B_18GXV_20250323_1_L2A/TCI.tif,yes
sma-uf-19173,data\imagery\sma_river_aggregate_patches\sma-uf-19173.png,known_aggregate_site,0.8,S2C_19HBA_20251203_0_L2A,2025-12-03T14:52:59.100000Z,0.000368,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BA/2025/12/S2C_19HBA_20251203_0_L2A/TCI.tif,yes
sma-uf-19321,data\imagery\sma_river_aggregate_patches\sma-uf-19321.png,known_aggregate_site,0.8,S2C_19HBA_20251203_0_L2A,2025-12-03T14:52:59.100000Z,0.000368,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/BA/2025/12/S2C_19HBA_20251203_0_L2A/TCI.tif,yes
sma-uf-19358,data\imagery\sma_river_aggregate_patches\sma-uf-19358.png,known_aggregate_site,0.8,S2B_18GYQ_20260104_0_L2A,2026-01-04T14:45:32.889000Z,0.000362,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/18/G/YQ/2026/1/S2B_18GYQ_20260104_0_L2A/TCI.tif,yes
sma-uf-1953,data\imagery\sma_river_aggregate_patches\sma-uf-1953.png,known_aggregate_site,0.8,S2B_19HCD_20260407_0_L2A,2026-04-07T14:52:03.226000Z,0.002508,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/19/H/CD/2026/4/S2B_19HCD_20260407_0_L2A/TCI.tif,yes
